,,Camperplus,,Fish&Chips,,Grocery,,Planningpoker,,Recycling,,School,,Sports,,Supermarket,,Ticket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods,,Camperplus,,,Fish&Chips,,,Grocery,,,Planningpoker,,,Recycling,,,School,,,Sports,,,Supermarket,,,Ticket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAP,Experts,0.784,0.818,0.855,0.708,0.677,0.648,0.778,0.849,0.933,0.767,0.809,0.855,0.683,0.677,0.671,0.704,0.745,0.79,0.745,0.754,0.763,0.775,0.749,0.724,0.666,0.704,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Novices,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.633,0.631,0.628,-,-,-,0.51,0.569,0.643,0.54,0.6,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VN,Precision-oriented,0.444,0.333,0.266,0.333,0.333,0.333,0.406,0.375,0.349,0.37,0.444,0.556,0.273,0.273,0.273,0.566,0.462,0.39,0.455,0.334,0.263,0.424,0.435,0.447,0.595,0.556,0.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recall-oriented,0.426,0.489,0.573,0.294,0.357,0.455,0.337,0.414,0.536,0.37,0.444,0.556,0.253,0.285,0.328,0.488,0.565,0.67,0.41,0.4,0.391,0.422,0.483,0.564,0.278,0.333,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Precision-oriented,0.61,0.435,0.338,0.714,0.737,0.761,0.909,0.8,0.715,0.652,0.75,0.882,0.349,0.316,0.288,0.732,0.522,0.405,0.377,0.348,0.323,0.741,0.534,0.417,0.526,0.47,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Recall-oriented,0.556,0.619,0.699,0.508,0.584,0.687,0.449,0.552,0.714,0.349,0.462,0.682,0.361,0.414,0.484,0.495,0.526,0.562,0.362,0.37,0.379,0.391,0.486,0.643,0.404,0.435,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLM,ChatGPT Org,0.603,0.61,0.618,0.373,0.457,0.591,0.474,0.573,0.726,0.409,0.501,0.646,0.228,0.285,0.38,0.541,0.569,0.601,0.465,0.54,0.644,0.55,0.613,0.693,0.497,0.545,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChatGPT 1S3P,0.589,0.568,0.548,0.418,0.501,0.623,0.548,0.632,0.745,0.372,0.469,0.636,0.285,0.336,0.409,0.496,0.516,0.537,0.549,0.58,0.614,0.523,0.607,0.723,0.476,0.552,0.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChatGPT 3S3P,0.676,0.714,0.757,0.405,0.487,0.61,0.568,0.661,0.79,0.431,0.534,0.7,0.284,0.348,0.448,0.498,0.564,0.65,0.502,0.535,0.572,0.5,0.596,0.736,0.499,0.569,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral Org,0.581,0.592,0.604,0.517,0.568,0.629,0.897,0.86,0.827,0.441,0.498,0.571,0.225,0.293,0.42,0.63,0.669,0.714,0.512,0.508,0.503,0.572,0.592,0.614,0.416,0.49,0.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral 1S3P,0.465,0.465,0.465,0.533,0.574,0.62,0.917,0.899,0.881,0.531,0.614,0.729,0.247,0.316,0.438,0.538,0.569,0.604,0.63,0.639,0.648,0.527,0.582,0.649,0.45,0.508,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral 3S3P,0.541,0.502,0.467,0.542,0.597,0.665,0.852,0.698,0.59,0.508,0.574,0.66,0.245,0.31,0.422,0.659,0.65,0.641,0.578,0.565,0.554,0.579,0.577,0.574,0.489,0.549,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Std within datasets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods,,Camperplus,,,Fish&Chips,,,Grocery,,,Planningpoker,,,Recycling,,,School,,,Sports,,,Supermarket,,,Ticket,,,Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,F1,F2,F0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLM,ChatGPT Org,0.082747884,0.091027954,0.12457207,0.087751409,0.08863726,0.100604946,0.098222175,0.103816312,0.133808755,0.078919005,0.072828899,0.084714714,0.031881693,0.039846985,0.083150558,0.105151917,0.090084674,0.128581756,0.094536834,0.057739334,0.078253753,0.116901006,0.132144278,0.206448176,0.175431336,0.138319373,0.100919371,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChatGPT 1S3P,0.099425109,0.077535992,0.079733904,0.060844293,0.05536119,0.085894986,0.112715711,0.105262189,0.113159315,0.080896956,0.076413892,0.085306567,0.073794116,0.074085616,0.093352201,0.142959184,0.119536756,0.12221773,0.063591114,0.057969008,0.068772814,0.147253748,0.133146556,0.123283217,0.088154453,0.070772531,0.073013787,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ChatGPT 3S3P,0.314792072,0.25303327,0.187376716,0.093023111,0.085817093,0.076141298,0.137749105,0.101470011,0.061732152,0.137749105,0.101470011,0.061732152,0.101139325,0.102581163,0.118466506,0.072053439,0.054311319,0.085458062,0.061329647,0.065147319,0.087834008,0.112973145,0.093039132,0.081889327,0.105498317,0.129419523,0.170656791,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral Org,0.087722924,0.088540795,0.099292703,0.088627071,0.070951197,0.09630503,0.088352338,0.090777903,0.119341565,0.095090327,0.076169798,0.067762798,0.032318154,0.033872263,0.04387455,0.063863005,0.072981002,0.102088195,0.127975732,0.127051069,0.135393909,0.126140218,0.083484371,0.122058236,0.07962873,0.078437835,0.092149764,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral 1S3P,0.092519358,0.087789211,0.09897273,0.092519358,0.087789211,0.09897273,0.047895152,0.066400256,0.104300253,0.180816358,0.168116164,0.153395108,0.070085873,0.07476897,0.093841114,0.13505963,0.105107972,0.110249027,0.135823144,0.105323962,0.106457294,0.193707497,0.135666407,0.104617317,0.111029771,0.109741362,0.116369755,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mistral 3S3P,0.10731051,0.117977153,0.134234945,0.10731051,0.117977153,0.134234945,0.07943356,0.123175032,0.137062073,0.075277553,0.063573983,0.074189742,0.06331858,0.07871666,0.110948921,0.070639797,0.089183108,0.131988648,0.116032838,0.08245386,0.060788903,0.13190944,0.090877455,0.084706028,0.116189442,0.102422705,0.10658012,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supermarket,Redundant or derived,Irrelevant for domain,Vague (too generic),Attribute,Role,Implementation construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant or derived,4,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrelevant for domain,6,13,4,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vague (too generic),0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0,0,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implementation construct,0,5,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports,Redundant or derived,Irrelevant for domain,Vague (too generic),Attribute,Role,Implementation construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant or derived,9,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrelevant for domain,2,4,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vague (too generic),1,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attribute,1,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implementation construct,1,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlanningPoker,Redundant or derived,Irrelevant for domain,Vague (too generic),Attribute,Role,Implementation construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant or derived,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrelevant for domain,0,10,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vague (too generic),1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attribute,0,2,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role,0,0,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implementation construct,1,1,1,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticket,Redundant or derived,Irrelevant for domain,Vague (too generic),Attribute,Role,Implementation construct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant or derived,7,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrelevant for domain,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vague (too generic),0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
